ClustID	SigLvl	Count	AvgDissim	Members
119	-	5	0.20	novel-1hp_25,novel-1hp_15,novel-1hp_47,novel-1hp_11,novel-1hp_42
271	-	8	0.29	novel-1hp_26,novel-1hp_46,novel-1hp_14,novel-1hp_3,novel-1hp_36,novel-3hp_40,novel-1hp_4,novel-1hp_19
175	-	7	0.36	novel-1hp_48,novel-1hp_28,novel-1hp_43,novel-3hp_7,novel-1hp_44,novel-1hp_30,novel-1hp_39
169	-	6	0.31	novel-1hp_26,novel-1hp_23,novel-1hp_3,novel-1hp_13,novel-1hp_9,novel-2hp_15
21	-	7	0.34	novel-1hp_48,novel-1hp_28,novel-1hp_43,novel-1hp_7,novel-1hp_34,novel-2hp_12,novel-1hp_18
111	-	5	0.22	novel-1hp_32,novel-1hp_24,novel-1hp_10,novel-1hp_45,novel-1hp_4
31	-	4	0.40	novel-1hp_49,novel-1hp_40,novel-1hp_37,novel-3hp_7
87	-	7	0.26	novel-1hp_14,novel-1hp_23,novel-1hp_2,novel-1hp_30,novel-1hp_17,novel-1hp_6,novel-1hp_19
41	-	8	0.52	novel-3hp_23,novel-2hp_29,novel-2hp_46,novel-1hp_32,novel-2hp_9,novel-1hp_11,novel-2hp_6,novel-2hp_14
30	-	6	0.39	novel-2hp_42,novel-2hp_43,novel-2hp_40,novel-2hp_47,novel-2hp_18,novel-2hp_16
218	-	3	0.32	novel-2hp_40,novel-2hp_48,novel-2hp_3
220	-	8	0.43	novel-2hp_20,novel-2hp_31,novel-2hp_50,novel-2hp_39,novel-1hp_31,novel-2hp_9,novel-2hp_8,novel-2hp_5
116	-	6	0.51	novel-2hp_37,novel-1hp_28,novel-2hp_42,novel-2hp_38,novel-1hp_32,novel-2hp_12
182	-	4	0.45	novel-2hp_16,novel-1hp_20,novel-2hp_44,novel-2hp_2
136	-	6	0.51	novel-3hp_9,novel-3hp_17,novel-3hp_14,novel-3hp_30,novel-3hp_24,novel-1hp_38
57	-	5	0.52	novel-1hp_9,novel-3hp_43,novel-3hp_13,novel-3hp_40,novel-3hp_19
20	-	4	0.52	novel-1hp_1,novel-3hp_34,novel-3hp_28,novel-3hp_42
177	-	8	0.51	novel-2hp_33,novel-2hp_30,novel-2hp_37,novel-2hp_35,novel-1hp_40,novel-2hp_47,novel-3hp_13,novel-2hp_19
281	-	10	0.43	novel-2hp_32,novel-2hp_49,novel-2hp_34,novel-2hp_28,novel-2hp_29,novel-2hp_46,novel-3hp_46,novel-2hp_9,novel-2hp_15,novel-2hp_14
255	-	4	0.41	novel-3hp_29,novel-3hp_32,novel-3hp_25,novel-3hp_11
241	-	4	0.37	novel-2hp_7,novel-2hp_1,novel-2hp_22,novel-2hp_17
260	-	5	0.52	novel-3hp_4,novel-3hp_49,novel-3hp_47,novel-1hp_31,novel-3hp_15
146	-	4	0.44	novel-3hp_39,novel-3hp_33,novel-3hp_36,novel-3hp_19
296	-	6	0.47	novel-3hp_8,novel-3hp_16,novel-3hp_11,novel-3hp_45,novel-3hp_32,novel-3hp_41
110	-	4	0.59	novel-3hp_31,novel-3hp_50,novel-1hp_47,novel-3hp_36
164	-	7	0.46	novel-2hp_50,novel-2hp_26,novel-1hp_41,novel-2hp_14,novel-2hp_45,novel-2hp_15,novel-2hp_40
246	-	8	0.51	novel-2hp_36,novel-2hp_39,novel-2hp_41,novel-1hp_15,novel-2hp_11,novel-2hp_10,novel-2hp_13,novel-2hp_17
33	-	11	0.47	novel-1hp_48,novel-1hp_28,novel-3hp_20,novel-1hp_43,novel-3hp_2,novel-3hp_22,novel-1hp_31,novel-1hp_11,novel-3hp_37,novel-1hp_39,novel-1hp_18
