ClustID	MergedIDs	Count	AvgDissim	Members
M11	41,996,99	33	0.79	RF00012_21_19-12,RF00012_9_17-48,RF00012_2_31-43,RF00012_28_26-47,RF00012_6_48-27,RF00012_30_13-18,RF00012_26_36-33,RF00012_29_12-26,RF00012_5_14-23,RF00012_7_22-44,RF00012_8_16-40,RF00012_20_38-18,RF00012_36_31-41,RF00012_17_37-44,RF00012_34_16-37,RF00012_3_45-47,RF00012_12_46-46,RF00012_15_32-27,RF00012_38_18-30,RF00012_31_13-41,RF00012_23_17-44,RF00012_27_27-30,RF00012_24_30-32,RF00012_35_29-30,RF00012_22_24-36,RF00012_33_12-13,RF00012_37_11-44,RF00012_25_10-43,RF00012_13_43-38,RF00012_32_33-43,RF00012_4_19-30,RF00012_1_11-25,RF00012_18_23-10
M17	304,503	72	0.82	RF00005_25_38-43,RF00005_50_38-12,RF00005_10_17-38,RF00005_2_30-41,RF00005_90_11-12,RF00005_44_41-31,RF00005_61_16-19,RF00005_36_13-37,RF00005_22_15-38,RF00005_52_32-16,RF00005_56_23-22,RF00005_98_30-36,RF00005_53_45-24,RF00005_78_24-31,RF00005_89_45-26,RF00005_46_32-24,RF00005_14_30-14,RF00005_74_34-45,RF00005_57_18-36,RF00005_97_49-27,RF00005_16_39-42,RF00005_93_44-16,RF00005_28_34-13,RF00005_8_48-31,RF00005_1_35-42,RF00005_79_32-24,RF00005_38_50-40,RF00005_66_29-46,RF00005_85_40-48,RF00005_33_35-23,RF00005_68_16-38,RF00005_76_30-47,RF00005_86_24-12,RF00005_34_44-48,RF00005_51_12-22,RF00005_42_37-40,RF00005_67_36-45,RF00005_95_34-37,RF00005_21_29-10,RF00005_58_43-40,RF00005_96_41-45,RF00005_31_42-16,RF00005_11_13-46,RF00005_63_35-37,RF00005_29_27-32,RF00005_3_48-45,RF00005_82_20-23,RF00005_6_11-27,RF00005_49_20-17,RF00005_77_45-14,RF00005_5_26-29,RF00005_26_25-42,RF00005_69_43-24,RF00005_24_41-19,RF00005_60_17-25,RF00005_23_41-13,RF00005_15_38-50,RF00005_55_44-17,RF00005_81_25-24,RF00005_47_37-28,RF00005_35_42-25,RF00005_65_18-50,RF00005_100_31-28,RF00005_4_37-31,RF00005_17_40-38,RF00005_13_21-33,RF00005_40_20-16,RF00005_39_45-21,RF00005_12_31-24,RF00005_37_16-44,RF00005_62_10-41,RF00005_73_29-17
M10	910	19	0.74	RF00002_9_38-47,RF00002_18_45-29,RF00002_10_35-38,RF00002_2_10-25,RF00002_14_27-35,RF00002_6_14-44,RF00002_22_14-34,RF00002_8_40-21,RF00002_12_24-28,RF00002_21_48-26,RF00002_19_41-42,RF00002_17_41-21,RF00002_3_12-42,RF00002_20_45-20,RF00002_5_11-14,RF00002_16_40-20,RF00002_7_39-46,RF00002_1_45-13,RF00002_15_46-37
M16	1016	41	0.83	RF00015_52_25-23,RF00002_9_38-47,RF00015_42_12-21,RF00015_33_31-37,RF00015_6_21-38,RF00015_35_22-16,RF00015_19_42-28,RF00015_34_40-48,RF00015_25_48-26,RF00015_39_15-17,RF00015_18_28-27,RF00015_23_40-43,RF00015_59_36-48,RF00015_55_45-17,RF00015_40_17-42,RF00015_16_27-20,RF00015_56_27-21,RF00015_53_25-40,RF00015_10_41-50,RF00015_45_49-35,RF00015_50_36-32,RF00015_43_10-46,RF00015_4_49-42,RF00015_29_22-39,RF00015_27_19-30,RF00015_20_21-34,RF00015_36_40-30,RF00015_38_13-14,RF00015_31_32-20,RF00015_41_10-42,RF00015_9_48-29,RF00015_30_33-38,RF00015_37_33-33,RF00015_48_48-36,RF00015_46_22-11,RF00015_44_26-18,RF00015_11_50-28,RF00015_47_12-44,RF00015_61_49-38,RF00015_51_42-37,RF00015_24_43-50
M20	296	12	0.72	RF00013_9_45-32,RF00013_42_46-34,RF00013_62_48-28,RF00013_19_48-21,RF00013_50_37-38,RF00013_78_30-35,RF00013_53_21-33,RF00013_28_48-33,RF00013_31_23-32,RF00013_10_38-26,RF00013_4_23-41,RF00013_63_38-44
M13	735	26	0.82	RF00006_42_14-50,RF00006_5_45-31,RF00006_26_29-45,RF00006_19_11-49,RF00006_51_13-47,RF00006_46_13-35,RF00006_7_45-36,RF00006_48_35-17,RF00006_33_44-46,RF00006_39_34-21,RF00006_23_42-17,RF00006_6_12-20,RF00006_35_35-42,RF00006_1_10-20,RF00006_36_25-24,RF00006_2_21-41,RF00006_44_37-26,RF00006_29_10-50,RF00006_16_23-33,RF00006_14_50-13,RF00006_37_23-35,RF00006_47_44-45,RF00006_18_30-27,RF00006_21_45-19,RF00006_28_45-19,RF00006_31_33-38
M18	891,1830,1494	43	0.73	RF00011_23_45-25,RF00011_31_13-28,RF00011_36_11-39,RF00011_32_10-46,RF00011_8_37-44,RF00011_24_26-19,RF00011_22_27-31,RF00011_11_33-36,RF00011_38_17-18,RF00011_33_32-27,RF00011_29_13-17,RF00011_20_15-48,RF00011_39_35-46,RF00011_5_49-15,RF00011_15_45-17,RF00011_40_33-31,RF00011_41_43-44,RF00011_35_22-21,RF00011_6_25-35,RF00011_37_14-13,RF00011_16_45-29,RF00011_14_43-11,RF00011_28_30-11,RF00011_21_19-45,RF00011_10_17-39,RF00011_4_44-34,RF00011_7_27-10,RF00011_9_34-46,RF00011_1_12-27,RF00011_18_16-29,RF00011_12_36-47,RF00011_17_27-38,RF00011_3_19-22,RF00011_30_27-13,RF00011_2_38-10,RF00011_27_27-27,RF00011_25_38-18,RF00011_26_20-22,RF00011_13_43-11,RF00011_34_45-13,RF00011_19_18-30,RF00010_24_36-27,RF00010_35_31-10
M5	1127,947,412	20	0.75	RF00019_18_25-12,RF00019_22_34-38,RF00019_21_19-50,RF00019_8_15-14,RF00019_1_32-22,RF00019_15_40-42,RF00019_20_47-21,RF00019_10_21-27,RF00019_12_32-19,RF00019_24_15-38,RF00019_3_45-37,RF00019_7_18-49,RF00019_16_12-21,RF00019_23_13-20,RF00019_6_35-35,RF00019_14_31-32,RF00019_11_19-25,RF00019_19_42-18,RF00019_9_24-24,RF00019_4_35-49
M4	761,112,856,1425,1636,492,1670,1297,1317,302,1357,76,1497,484,1644,15,1418,1660	122	0.72	RF00010_42_47-32,RF00010_10_48-42,RF00010_37_26-49,RF00010_1_36-15,RF00010_49_18-27,RF00010_41_50-25,RF00010_5_44-43,RF00010_93_19-48,RF00010_35_31-10,RF00010_4_45-35,RF00010_38_24-33,RF00010_56_16-17,RF00010_72_50-24,RF00010_45_20-48,RF00010_80_33-40,RF00010_44_28-26,RF00010_64_48-42,RF00010_85_49-36,RF00010_20_16-32,RF00010_47_42-48,RF00010_91_19-41,RF00010_29_42-50,RF00010_27_31-24,RF00010_92_23-18,RF00010_30_12-33,RF00010_28_50-47,RF00010_99_30-49,RF00010_68_49-14,RF00010_57_14-11,RF00010_100_31-15,RF00010_9_40-23,RF00010_94_48-11,RF00010_89_22-30,RF00010_18_49-16,RF00010_6_31-42,RF00010_74_35-26,RF00010_40_38-39,RF00010_12_24-30,RF00010_15_16-29,RF00010_58_22-12,RF00010_81_23-29,RF00010_77_41-30,RF00010_69_18-49,RF00010_16_30-40,RF00010_31_29-39,RF00010_67_27-28,RF00010_34_44-43,RF00010_39_40-31,RF00010_86_41-28,RF00010_19_44-14,RF00010_51_14-47,RF00010_50_46-16,RF00010_95_49-13,RF00010_24_36-27,RF00010_83_28-31,RF00010_11_50-34,RF00010_60_43-36,RF00010_55_25-28,RF00010_25_22-47,RF00010_82_37-34,RF00010_62_16-40,RF00010_79_31-10,RF00010_3_16-19,RF00010_21_17-19,RF00010_75_12-12,RF00010_53_50-28,RF00010_84_38-46,RF00010_61_30-47,RF00010_2_19-42,RF00010_73_32-26,RF00010_8_27-50,RF00010_22_37-37,RF00010_98_45-15,RF00010_63_43-29,RF00010_14_29-37,RF00010_26_14-45,RF00010_66_35-25,RF00010_23_10-43,RF00010_54_30-36,RF00010_88_30-13,RF00010_36_32-29,RF00010_32_46-18,RF00010_17_41-38,RF00010_70_28-36,RF00010_71_27-34,RF00010_59_38-48,RF00010_52_21-43,RF00010_48_37-24,RF00010_46_32-46,RF00010_7_30-14,RF00010_87_39-33,RF00010_33_33-25,RF00010_90_13-31,RF00010_13_34-24,RF00010_78_15-42,RF00010_96_22-36,RF00010_65_20-30,RF00010_97_29-13,RF00010_76_38-18,RF00010_43_24-36,RF00011_4_44-34,RF00011_5_49-15,RF00011_35_22-21,RF00011_8_37-44,RF00011_14_43-11,RF00011_20_15-48,RF00011_11_33-36,RF00011_33_32-27,RF00011_40_33-31,RF00011_10_17-39,RF00011_13_43-11,RF00011_3_19-22,RF00011_21_19-45,RF00011_25_38-18,RF00011_22_27-31,RF00011_28_30-11,RF00011_6_25-35,RF00011_24_26-19,RF00011_1_12-27,RF00011_12_36-47,RF00011_27_27-27,RF00011_34_45-13
M7	1897	5	0.62	RF00019_4_35-49,RF00019_13_14-19,RF00019_24_15-38,RF00019_2_27-29,RF00019_5_19-21
M6	392	16	0.75	RF00017_4_29-14,RF00017_17_28-15,RF00017_8_22-24,RF00017_16_34-28,RF00017_6_35-43,RF00017_10_29-41,RF00017_7_21-16,RF00017_3_18-32,RF00017_5_39-14,RF00017_2_41-13,RF00017_9_38-45,RF00017_1_33-21,RF00017_15_25-25,RF00017_11_37-36,RF00017_13_17-21,RF00017_12_23-44
