ClustID	SigLvl	Count	MFE	AvgDist	Members
3	**	3	-	0.00	QRF00468_EU256090.1,QRF00468_GU590309.1,QRF00468_GU590312.1
4	**	5	-	0.00	QRF00003_AAGU03071871.1,QRF00003_AANU01226676.1,QRF00003_AC198707.3,QRF00003_AC210638.2,QRF00003_AC210639.3
6	**	9	-	0.00	QRF00468_D50481.1,QRF00468_EF407496.1,QRF00468_EF422655.1,QRF00468_EF422659.1,QRF00468_EF422660.1,QRF00468_EF422663.1,QRF00468_EF422665.1,QRF00468_EF422666.1,QRF00468_EF422670.1
11	**	22	-	0.00	QRF01831_AAAK03000102.1,QRF01831_ABQA01000027.1,QRF01831_ABQI01000013.1,QRF01831_ABQJ01000079.1,QRF01831_ABRY01000116.1,QRF01831_ABSC01000040.1,QRF01831_ABSW01000040.1,QRF01831_ACAS01000148.1,QRF01831_ACAX01000064.1,QRF01831_ACAY01000062.1,QRF01831_ACAZ01000048.1,QRF01831_ACBA01000100.1,QRF01831_ACBB01000180.1,QRF01831_ACBC01000031.1,QRF01831_ACBD01000032.1,QRF01831_ACIY01000107.1,QRF01831_ACJQ01000097.1,QRF01831_ACOB01000111.1,QRF01831_ACOS01000069.1,QRF01831_ACZZ01000016.1,QRF01831_ADMM01000036.1,QRF01831_AEBC01000168.1
15	**	28	-	0.00	QRF02391_ADJI01000002.1,QRF02391_ADJJ01000002.1,QRF02391_ADJK01000012.1,QRF02391_ADVP01000007.1,QRF02391_AECP01000040.1,QRF02391_AECR01000026.1,QRF02391_AEEK01000062.1,QRF02391_AEUQ01000015.1,QRF02391_AEUR01000022.1,QRF02391_AFEE01000061.1,QRF02391_AFEF01000006.1,QRF02391_AFEG01000014.1,QRF02391_AFGU01000096.1,QRF02391_AFNO01000031.1,QRF02391_AFNP01000064.1,QRF02391_AFNQ01000009.1,QRF02391_AFTM01000043.1,QRF02391_AFTN01000007.1,QRF02391_AFTO01000019.1,QRF02391_AFTQ01000066.1,QRF02391_AFTS01000003.1,QRF02391_AFTT01000017.1,QRF02391_AFTU01000053.1,QRF02391_AJ938182.1,QRF02391_AM990992.1,QRF02391_AP009324.1,QRF02391_AP009351.1,QRF02391_BA000017.4
20	**	36	-	0.00	QRF00525_FJ744711.1,QRF00525_FJ744712.1,QRF00525_FJ744713.1,QRF00525_FJ744714.1,QRF00525_FJ744715.1,QRF00525_FJ744716.1,QRF00525_FJ744717.1,QRF00525_FJ744718.1,QRF00525_FJ744725.1,QRF00525_FJ810411.1,QRF00525_FJ810412.1,QRF00525_FJ873811.1,QRF00525_FJ898452.1,QRF00525_FJ906957.1,QRF00525_FM210206.1,QRF00525_FM210207.1,QRF00525_FM210214.1,QRF00525_FM210215.1,QRF00525_FM210216.1,QRF00525_FM210231.1,QRF00525_FM210233.2,QRF00525_FM210240.2,QRF00525_FM210242.2,QRF00525_FM210244.2,QRF00525_FM210246.2,QRF00525_GQ868543.1,QRF00525_GQ868620.1,QRF00525_GQ868621.1,QRF00525_GQ868622.1,QRF00525_GQ868623.1,QRF00525_GQ868624.1,QRF00525_GQ868625.1,QRF00525_GQ868631.1,QRF00525_GQ868638.1,QRF00525_GU131886.1,QRF00525_GU131898.1
23	**	23	-	0.00	QRF00059_ABSM01000006.1,QRF00059_ABZR01000127.1,QRF00059_ABZR01002526.1,QRF00059_ACHU02000131.1,QRF00059_ACXS01000336.1,QRF00059_ACXT01000032.1,QRF00059_ACXZ01000531.1,QRF00059_ADFY01000269.1,QRF00059_ADFZ01000087.1,QRF00059_ADGA01000099.1,QRF00059_ADMI01000029.1,QRF00059_ADWY01000072.1,QRF00059_AE016853.1,QRF00059_AEAD01000026.1,QRF00059_AEAE01000081.1,QRF00059_AEAF01000049.1,QRF00059_AEAG01000069.1,QRF00059_AEAH01000946.1,QRF00059_AEAI01001260.1,QRF00059_AEAJ01000298.1,QRF00059_AEAK01000279.1,QRF00059_AEAM01000036.1,QRF00059_AEAN01000387.1
29	no	2	-	0.00	QRF02344_AL591688.1,QRF02344_CP001830.1
30	**	33	-	0.00	QRF00469_AB049093.1,QRF00469_AB049097.1,QRF00469_AB057611.1,QRF00469_AB057615.1,QRF00469_AB154200.1,QRF00469_AB154203.1,QRF00469_AB154204.1,QRF00469_AB249644.1,QRF00469_AB426117.1,QRF00469_AB435162.2,QRF00469_AB461377.1,QRF00469_AB461379.1,QRF00469_AB488522.1,QRF00469_AB558135.2,QRF00469_AF145454.1,QRF00469_AF165057.1,QRF00469_AF165061.1,QRF00469_AF165062.1,QRF00469_AF207752.1,QRF00469_AF207758.1,QRF00469_AF207765.1,QRF00469_AF207769.1,QRF00469_AF207770.1,QRF00469_AF207772.1,QRF00469_AM494937.1,QRF00469_D10934.1,QRF00469_D63857.1,QRF00469_D89872.1,QRF00469_D90208.1,QRF00469_EF407499.1,QRF00469_EU155230.2,QRF00469_EU155332.2,QRF00469_EU155336.2
32	**	3	-	0.00	QRF02344_ABQY01000015.1,QRF02344_ABRB01002112.1,QRF02344_AEYZ01000248.1
