# command:    cmsearch --toponly --informat FASTA -T 13.38 -o /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust57_aln.txt --tabfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust57_tab.txt --gcfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust57_gc.txt -g /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/clust57.cm /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp.db
# date:       Thu Jan 23 16:06:45 2014
# num seqs:   150
# dbsize(Mb): 0.010650
#
# Pre-search info for CM 1: clust57-1
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  fwd  glc      -        3.00
#   2   cm  cyk  glc  1e-10        0.00
#   3   cm  ins  glc  1e-15       13.38
#
# CM: clust57-1
#                                     target coord   query coord                         
#                           ----------------------  ------------                         
# model name  target name        start        stop  start   stop    bit sc   E-value  GC%
# ----------  ------------  ----------  ----------  -----  -----  --------  --------  ---
  clust57-1   novel-1hp_9           11          61      1     71     16.99         -   57
  clust57-1   novel-3hp_13           1          71      1     71     75.74         -   45
  clust57-1   novel-3hp_19           1          71      1     71     55.62         -   48
  clust57-1   novel-3hp_40           1          71      1     71     79.39         -   56
  clust57-1   novel-3hp_43           1          71      1     71     78.17         -   45
#
# Post-search info for CM 1: clust57-1
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  fwd  glc      -        3.00         5      0.0333
#   2   cm  cyk  glc  1e-10        0.00         5      0.0333
#   3   cm  ins  glc  1e-15       13.38         5      0.0315
#
#    run time
# -----------
#    00:00:00
