# command:    cmsearch --toponly --informat FASTA -T 13.38 -o /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust30_aln.txt --tabfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust30_tab.txt --gcfile /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/cmsearch_bs13.38bgNoneGloc/clust30_gc.txt -g /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp_clust_cms/clust30.cm /home/sarahmid/Project1_RNAstruct/results/novel-71nt_dinuc500/1-2-3hp/novel-1-2-3hp.db
# date:       Thu Jan 23 16:06:45 2014
# num seqs:   150
# dbsize(Mb): 0.010650
#
# Pre-search info for CM 1: clust30-1
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  fwd  glc      -        3.00
#   2   cm  cyk  glc  1e-10        0.00
#   3   cm  ins  glc  1e-15       13.38
#
# CM: clust30-1
#                                     target coord   query coord                         
#                           ----------------------  ------------                         
# model name  target name        start        stop  start   stop    bit sc   E-value  GC%
# ----------  ------------  ----------  ----------  -----  -----  --------  --------  ---
  clust30-1   novel-2hp_16           1          71      1     71     57.86         -   42
  clust30-1   novel-2hp_18           1          71      1     71     76.95         -   61
  clust30-1   novel-2hp_40           1          71      1     71     45.19         -   65
  clust30-1   novel-2hp_42           1          71      1     71     49.82         -   51
  clust30-1   novel-2hp_43           1          71      1     71     73.35         -   46
  clust30-1   novel-2hp_47           1          71      1     71     76.92         -   55
#
# Post-search info for CM 1: clust30-1
#
# rnd  mod  alg  cfg   beta  bit sc cut  num hits  surv fract
# ---  ---  ---  ---  -----  ----------  --------  ----------
#   1  hmm  fwd  glc      -        3.00         6      0.0400
#   2   cm  cyk  glc  1e-10        0.00         6      0.0400
#   3   cm  ins  glc  1e-15       13.38         6      0.0400
#
#    run time
# -----------
#    00:00:00
