ID	Len	GC	Group
QRF00003_AAEX03006577.1	164	0.549	QRF00003
QRF00003_AAEX03011628.1	164	0.537	QRF00003
QRF00003_AAFC03092002.1	164	0.537	QRF00003
QRF00003_AAGU03054723.1	164	0.549	QRF00003
QRF00003_AAGU03071871.1	164	0.537	QRF00003
QRF00003_AAGW02039346.1	164	0.555	QRF00003
QRF00003_AAGW02048685.1	164	0.549	QRF00003
QRF00003_AAGW02064192.1	164	0.549	QRF00003
QRF00003_AAHY01147030.1	165	0.558	QRF00003
QRF00003_AAMC01111006.1	164	0.567	QRF00003
QRF00003_AAMC01169044.1	164	0.561	QRF00003
QRF00003_AANG01782681.1	164	0.549	QRF00003
QRF00003_AANU01226676.1	164	0.537	QRF00003
QRF00003_AANU01226704.1	164	0.549	QRF00003
QRF00003_AAWR02012946.1	164	0.549	QRF00003
QRF00003_AAYZ01619943.1	164	0.567	QRF00003
QRF00003_ABDC01479460.1	164	0.555	QRF00003
QRF00003_ABDC01565494.1	164	0.549	QRF00003
QRF00003_ABGA01334849.1	164	0.537	QRF00003
QRF00003_ABRR01432140.1	164	0.549	QRF00003
QRF00003_AC093350.15	165	0.558	QRF00003
QRF00003_AC121792.3	165	0.558	QRF00003
QRF00003_AC198707.3	164	0.537	QRF00003
QRF00003_AC210638.2	164	0.537	QRF00003
QRF00003_AC210639.3	164	0.537	QRF00003
QRF00003_AC211594.4	164	0.537	QRF00003
QRF00003_ACTA01125212.1	164	0.549	QRF00003
QRF00003_ACTA01149114.1	164	0.549	QRF00003
QRF00003_ACTA01163335.1	164	0.537	QRF00003
QRF00003_AEHK01161770.1	164	0.537	QRF00003
QRF00003_AEKQ01192936.1	165	0.558	QRF00003
QRF00003_AEYP01037788.1	165	0.539	QRF00003
QRF00003_CAAA01181478.1	165	0.558	QRF00003
QRF00003_DAAA02005665.1	164	0.537	QRF00003
QRF00003_DAAA02007316.1	164	0.543	QRF00003
QRF00003_DAAA02029353.1	164	0.543	QRF00003
QRF00003_DAAA02048323.1	164	0.543	QRF00003
QRF00003_DAAA02052729.1	164	0.543	QRF00003
QRF00003_FP700112.17	164	0.543	QRF00003
QRF00003_FP700122.11	164	0.543	QRF00003
QRF00003_V00587.1	164	0.543	QRF00003
QRF00009_AABR05015979.1	428	0.603	QRF00009
QRF00009_AABR05050037.1	298	0.678	QRF00009
QRF00009_AACZ03097526.1	333	0.643	QRF00009
QRF00009_AADA01001277.1	333	0.643	QRF00009
QRF00009_AADB02016058.1	333	0.646	QRF00009
QRF00009_AADC01116303.1	335	0.648	QRF00009
QRF00009_AADD01135819.1	333	0.646	QRF00009
QRF00009_AAHY01113755.1	298	0.668	QRF00009
QRF00009_AAKN02053655.1	330	0.642	QRF00009
QRF00009_AANU01176871.1	333	0.646	QRF00009
QRF00009_AAQR03134600.1	336	0.637	QRF00009
QRF00009_ABBA01061225.1	333	0.646	QRF00009
QRF00009_ABGA01398660.1	333	0.649	QRF00009
QRF00009_ABRN01156322.1	333	0.628	QRF00009
QRF00009_ABRP01109875.1	333	0.625	QRF00009
QRF00009_ABRQ01153714.1	330	0.636	QRF00009
QRF00009_ABRT010113137.1	335	0.669	QRF00009
QRF00009_ABSL01074310.1	333	0.646	QRF00009
QRF00009_ABVD01573128.1	334	0.611	QRF00009
QRF00009_AC027184.15	319	0.671	QRF00009
QRF00009_ACBE01202530.1	335	0.636	QRF00009
QRF00009_ACFV01031345.1	335	0.624	QRF00009
QRF00009_ACTA01132254.1	334	0.623	QRF00009
QRF00009_ADDF011403414.1	333	0.646	QRF00009
QRF00009_ADFV01127212.1	333	0.643	QRF00009
QRF00009_AEHK01331430.1	333	0.646	QRF00009
QRF00009_AEHL01032053.1	333	0.646	QRF00009
QRF00009_AEKP01129488.1	333	0.646	QRF00009
QRF00009_AEKQ01209157.1	319	0.671	QRF00009
QRF00009_AEKR01088288.1	319	0.671	QRF00009
QRF00009_AEYP01102346.1	334	0.623	QRF00009
QRF00009_AF479321.1	334	0.644	QRF00009
QRF00009_AFEY01380487.1	345	0.617	QRF00009
QRF00009_AFSB01064422.1	329	0.666	QRF00009
QRF00009_AFTD01135807.1	292	0.682	QRF00009
QRF00009_AGCE01098325.1	335	0.636	QRF00009
QRF00009_AGTP01114631.1	336	0.631	QRF00009
QRF00009_AL355075.6	333	0.646	QRF00009
QRF00009_BC116202.1	298	0.668	QRF00009
QRF00009_BC116203.1	298	0.668	QRF00009
QRF00009_BC128280.1	298	0.668	QRF00009
QRF00009_BC128469.1	298	0.668	QRF00009
QRF00009_BC128470.1	298	0.668	QRF00009
QRF00009_CAAA01063195.1	319	0.671	QRF00009
QRF00009_CABD02105277.1	333	0.640	QRF00009
QRF00009_CAEC01589746.1	333	0.643	QRF00009
QRF00009_DAAA02028332.1	333	0.637	QRF00009
QRF00009_FJ916028.1	333	0.643	QRF00009
QRF00009_S68670.1	333	0.646	QRF00009
QRF00009_X16612.1	333	0.646	QRF00009
QRF00011_ACHK01000105.1	369	0.455	QRF00011
QRF00011_ACIX01000012.1	369	0.455	QRF00011
QRF00011_ACOC01000019.1	369	0.455	QRF00011
QRF00011_ACOX02000001.1	369	0.455	QRF00011
QRF00011_ADKN01000062.1	369	0.455	QRF00011
QRF00011_AE004092.1	369	0.420	QRF00011
QRF00011_AE009949.1	369	0.420	QRF00011
QRF00011_AE014074.1	369	0.420	QRF00011
QRF00011_AEBB01000010.1	369	0.455	QRF00011
QRF00011_AEBD01000013.1	369	0.455	QRF00011
QRF00011_AEBE01000097.1	369	0.455	QRF00011
QRF00011_AEBF01000020.1	369	0.455	QRF00011
QRF00011_AEBH01000009.1	369	0.455	QRF00011
QRF00011_AEBI01000009.1	369	0.455	QRF00011
QRF00011_AEBJ01000024.1	369	0.455	QRF00011
QRF00011_AEBK01000019.1	369	0.455	QRF00011
QRF00011_AEBL01000020.1	369	0.455	QRF00011
QRF00011_AEBM01000063.1	369	0.455	QRF00011
QRF00011_AEBN01000011.1	369	0.455	QRF00011
QRF00011_AEBO01000064.1	369	0.455	QRF00011
QRF00011_AEBP01000074.1	369	0.455	QRF00011
QRF00011_AEBQ01000002.1	369	0.455	QRF00011
QRF00011_AEBR01000025.1	369	0.455	QRF00011
QRF00011_AEBV01000058.1	369	0.455	QRF00011
QRF00011_AEBW01000006.1	369	0.455	QRF00011
QRF00011_AEBX01000024.1	369	0.455	QRF00011
QRF00011_AEBY01000061.1	369	0.455	QRF00011
QRF00011_AEBZ01000034.1	369	0.455	QRF00011
QRF00011_AECA01000057.1	369	0.455	QRF00011
QRF00011_AECB01000046.1	369	0.455	QRF00011
QRF00011_AECC01000013.1	369	0.455	QRF00011
QRF00011_AECE01000091.1	369	0.455	QRF00011
QRF00011_AECF01000019.1	369	0.455	QRF00011
QRF00011_AECG01000047.1	369	0.455	QRF00011
QRF00011_AEEO01000022.1	369	0.420	QRF00011
QRF00011_AJ511686.1	369	0.420	QRF00011
QRF00011_BA000034.2	369	0.420	QRF00011
QRF00011_CP000003.1	369	0.420	QRF00011
QRF00011_CP000017.1	369	0.420	QRF00011
