ID	Len	GC	Group
RF00027_00000	86	0.477	RF00027
RF00027_00006	86	0.500	RF00027
RF00027_00077	86	0.547	RF00027
RF00027_00178	87	0.402	RF00027
RF00027_00203	85	0.529	RF00027
RF00027_00207	85	0.529	RF00027
RF00027_00246	85	0.576	RF00027
RF00027_00331	85	0.471	RF00027
RF00027_00345	85	0.471	RF00027
RF00027_00357	81	0.432	RF00027
RF00027_00410	88	0.523	RF00027
RF00027_00588	91	0.429	RF00027
RF00027_00599	82	0.439	RF00027
RF00027_00608	88	0.409	RF00027
RF00027_00613	79	0.468	RF00027
RF00027_00708	76	0.421	RF00027
RF00027_00781	76	0.447	RF00027
RF00027_00826	76	0.461	RF00027
RF00027_00859	76	0.461	RF00027
RF00027_00928	87	0.540	RF00027
RF00027_00929	87	0.540	RF00027
RF00027_00958	87	0.540	RF00027
RF00027_00970	84	0.417	RF00027
RF00027_01175	70	0.343	RF00027
RF00027_01201	73	0.466	RF00027
RF00052_00001	70	0.486	RF00052
RF00052_00002	70	0.471	RF00052
RF00052_00004	70	0.471	RF00052
RF00052_00017	70	0.471	RF00052
RF00052_00032	70	0.471	RF00052
RF00052_00048	70	0.471	RF00052
RF00052_00052	70	0.471	RF00052
RF00052_00069	70	0.471	RF00052
RF00052_00073	71	0.493	RF00052
RF00052_00119	71	0.493	RF00052
RF00052_00147	71	0.479	RF00052
RF00052_00154	71	0.479	RF00052
RF00052_00159	71	0.521	RF00052
RF00052_00166	70	0.529	RF00052
RF00052_00174	69	0.565	RF00052
RF00052_00196	69	0.580	RF00052
RF00052_00212	69	0.594	RF00052
RF00052_00235	69	0.420	RF00052
RF00052_00238	69	0.420	RF00052
RF00052_00245	69	0.420	RF00052
RF00052_00261	69	0.420	RF00052
RF00052_00269	71	0.549	RF00052
RF00052_00276	68	0.544	RF00052
RF00052_00279	71	0.507	RF00052
RF00052_00299	68	0.500	RF00052
RF00103_00013	77	0.312	RF00103
RF00103_00015	77	0.312	RF00103
RF00103_00023	77	0.312	RF00103
RF00103_00047	77	0.390	RF00103
RF00103_00069	77	0.403	RF00103
RF00103_00078	77	0.403	RF00103
RF00103_00114	78	0.321	RF00103
RF00103_00127	77	0.351	RF00103
RF00103_00129	77	0.351	RF00103
RF00103_00178	74	0.378	RF00103
RF00103_00179	74	0.378	RF00103
RF00103_00192	76	0.487	RF00103
RF00103_00215	76	0.408	RF00103
RF00103_00216	76	0.447	RF00103
RF00103_00287	76	0.382	RF00103
RF00103_00322	74	0.500	RF00103
RF00103_00324	90	0.411	RF00103
RF00103_00364	77	0.364	RF00103
RF00103_00370	77	0.403	RF00103
RF00103_00430	77	0.312	RF00103
RF00103_00455	77	0.312	RF00103
RF00103_00478	70	0.271	RF00103
RF00103_00487	78	0.321	RF00103
RF00103_00490	77	0.312	RF00103
RF00103_00530	78	0.372	RF00103
RF00104_00015	76	0.368	RF00104
RF00104_00041	76	0.368	RF00104
RF00104_00205	72	0.528	RF00104
RF00104_00213	72	0.528	RF00104
RF00104_00397	75	0.347	RF00104
RF00104_00460	75	0.387	RF00104
RF00104_00492	69	0.449	RF00104
RF00104_00551	73	0.671	RF00104
RF00104_00564	73	0.658	RF00104
RF00104_00612	68	0.485	RF00104
RF00104_00620	70	0.471	RF00104
RF00104_00645	70	0.443	RF00104
RF00104_00712	73	0.247	RF00104
RF00104_00713	73	0.247	RF00104
RF00104_00960	70	0.457	RF00104
RF00104_01117	68	0.338	RF00104
RF00104_01291	75	0.253	RF00104
RF00104_01329	70	0.457	RF00104
RF00104_01354	83	0.313	RF00104
RF00104_01388	95	0.295	RF00104
RF00104_01481	71	0.268	RF00104
RF00104_01487	65	0.277	RF00104
RF00104_01507	75	0.213	RF00104
RF00104_01539	80	0.200	RF00104
RF00104_01594	71	0.155	RF00104
RF00222_00001	370	0.735	RF00222
RF00222_00023	370	0.743	RF00222
RF00222_00033	367	0.733	RF00222
RF00222_00034	349	0.751	RF00222
RF00222_00041	370	0.727	RF00222
RF00222_00043	331	0.764	RF00222
RF00222_00045	245	0.706	RF00222
RF00222_00048	369	0.734	RF00222
RF00222_00056	195	0.703	RF00222
RF00222_00058	354	0.723	RF00222
RF00222_00059	265	0.721	RF00222
RF00222_00062	224	0.692	RF00222
RF00222_00063	264	0.731	RF00222
RF00222_00070	212	0.627	RF00222
RF00222_00071	136	0.801	RF00222
RF00222_00078	173	0.728	RF00222
RF00222_00081	182	0.527	RF00222
RF00222_00095	132	0.621	RF00222
RF00222_00098	126	0.579	RF00222
RF00222_00099	107	0.514	RF00222
RF00222_00100	113	0.496	RF00222
RF00222_00101	100	0.630	RF00222
RF00222_00103	243	0.564	RF00222
RF00222_00104	131	0.527	RF00222
RF00222_00105	99	0.364	RF00222
RF00381_00006	59	0.593	RF00381
RF00381_00027	59	0.593	RF00381
RF00381_00030	59	0.593	RF00381
RF00381_00048	59	0.627	RF00381
RF00381_00054	59	0.627	RF00381
RF00381_00055	59	0.627	RF00381
RF00381_00057	59	0.627	RF00381
RF00381_00063	59	0.627	RF00381
RF00381_00065	59	0.627	RF00381
RF00381_00078	59	0.661	RF00381
RF00381_00088	59	0.610	RF00381
RF00381_00091	59	0.610	RF00381
RF00381_00097	59	0.627	RF00381
RF00381_00150	59	0.627	RF00381
RF00381_00151	59	0.644	RF00381
RF00381_00212	56	0.696	RF00381
RF00381_00216	56	0.696	RF00381
RF00381_00223	56	0.696	RF00381
RF00381_00231	56	0.696	RF00381
RF00381_00281	56	0.625	RF00381
RF00381_00295	59	0.627	RF00381
RF00381_00296	59	0.627	RF00381
RF00381_00297	59	0.644	RF00381
RF00381_00315	59	0.644	RF00381
RF00381_00316	59	0.644	RF00381
