ID	Len	GC	Group
QRF00001_AAAA02039752.1	119	0.538	QRF00001
QRF00001_AAAA02043281.1	119	0.555	QRF00001
QRF00001_AAAA02047827.1	119	0.555	QRF00001
QRF00001_ABXC01005835.1	119	0.529	QRF00001
QRF00001_ABXC01005838.1	119	0.529	QRF00001
QRF00001_ABXC01005839.1	119	0.529	QRF00001
QRF00001_ABXC01005841.1	119	0.529	QRF00001
QRF00001_ABXC01005844.1	119	0.529	QRF00001
QRF00001_ABXC01005845.1	119	0.529	QRF00001
QRF00001_ABXC01009117.1	119	0.529	QRF00001
QRF00001_ABXC01009119.1	119	0.529	QRF00001
QRF00001_ABXC01009135.1	119	0.529	QRF00001
QRF00001_ABXC01009775.1	119	0.529	QRF00001
QRF00001_ABXC01010155.1	119	0.529	QRF00001
QRF00001_AF550715.1	119	0.529	QRF00001
QRF00001_AF550740.1	119	0.546	QRF00001
QRF00001_AJ390135.1	119	0.538	QRF00001
QRF00001_AJ409525.1	119	0.529	QRF00001
QRF00001_AY034674.1	119	0.529	QRF00001
QRF00001_AY316209.1	119	0.529	QRF00001
QRF00001_EF064556.1	119	0.538	QRF00001
QRF00001_EF064678.1	119	0.538	QRF00001
QRF00001_EF064680.1	119	0.538	QRF00001
QRF00001_EF064687.1	119	0.538	QRF00001
QRF00001_EF064692.1	119	0.538	QRF00001
QRF00001_EF064700.1	119	0.538	QRF00001
QRF00001_EF524209.1	119	0.529	QRF00001
QRF00001_EU093153.1	119	0.529	QRF00001
QRF00001_EU093209.1	119	0.546	QRF00001
QRF00001_EU093378.1	119	0.546	QRF00001
QRF00001_EU439277.1	119	0.546	QRF00001
QRF00001_EU439278.1	119	0.546	QRF00001
QRF00001_EU439279.1	119	0.546	QRF00001
QRF00001_EU439280.1	119	0.546	QRF00001
QRF00001_EU439282.1	119	0.546	QRF00001
QRF00001_EU439284.1	119	0.546	QRF00001
QRF00001_EU439286.1	119	0.546	QRF00001
QRF00001_EU439291.1	119	0.546	QRF00001
QRF00001_EU924818.1	119	0.529	QRF00001
QRF00001_EU925066.1	119	0.546	QRF00001
QRF00001_FJ882503.1	119	0.546	QRF00001
QRF00001_GQ324770.1	119	0.546	QRF00001
QRF00001_HQ270648.1	119	0.529	QRF00001
QRF00001_HQ270965.1	119	0.546	QRF00001
QRF00001_U02637.1	119	0.546	QRF00001
QRF00004_AABR05021263.1	191	0.455	QRF00004
QRF00004_AABR05022372.1	191	0.455	QRF00004
QRF00004_AABR05099137.1	191	0.450	QRF00004
QRF00004_AABR05163151.1	191	0.455	QRF00004
QRF00004_AABR05163155.1	191	0.455	QRF00004
QRF00004_AAHX01020651.1	191	0.450	QRF00004
QRF00004_AAHX01060778.1	191	0.455	QRF00004
QRF00004_AAHX01060780.1	191	0.455	QRF00004
QRF00004_AAHX01065186.1	191	0.455	QRF00004
QRF00004_AAHX01066062.1	191	0.455	QRF00004
QRF00004_AAHX01066063.1	191	0.455	QRF00004
QRF00004_AAHX01066064.1	191	0.455	QRF00004
QRF00004_AAHX01239426.1	191	0.455	QRF00004
QRF00004_AAHX01316634.1	191	0.455	QRF00004
QRF00004_AAHY01007407.1	191	0.455	QRF00004
QRF00004_AAHY01007409.1	191	0.450	QRF00004
QRF00004_AAHY01007410.1	191	0.450	QRF00004
QRF00004_AAHY01094792.1	191	0.455	QRF00004
QRF00004_AAHY01329157.1	191	0.445	QRF00004
QRF00004_AALT01028649.1	191	0.455	QRF00004
QRF00004_AALT01047368.1	191	0.435	QRF00004
QRF00004_AALT01468731.1	191	0.445	QRF00004
QRF00004_AALT01534518.1	191	0.455	QRF00004
QRF00004_AALT01643423.1	191	0.435	QRF00004
QRF00004_AANN01151818.1	191	0.450	QRF00004
QRF00004_AAPE02024545.1	191	0.461	QRF00004
QRF00004_AAXN01065692.1	191	0.455	QRF00004
QRF00004_AC114905.10	191	0.450	QRF00004
QRF00004_AC115341.6	191	0.450	QRF00004
QRF00004_AC118772.5	191	0.455	QRF00004
QRF00004_AC120136.9	191	0.450	QRF00004
QRF00004_AC124036.5	191	0.455	QRF00004
QRF00004_AEKQ01015661.1	191	0.450	QRF00004
QRF00004_AEKQ01130478.1	191	0.455	QRF00004
QRF00004_AFTD01023694.1	191	0.455	QRF00004
QRF00004_AFTD01176563.1	191	0.450	QRF00004
QRF00004_AL603711.6	191	0.455	QRF00004
QRF00004_CAAA01083974.1	191	0.455	QRF00004
QRF00004_CAAA01117942.1	191	0.450	QRF00004
QRF00004_FQ227627.1	191	0.440	QRF00004
QRF00004_X07913.1	191	0.455	QRF00004
QRF00005_AACY020656879.1	72	0.569	QRF00005
QRF00005_ABCE01000025.1	73	0.562	QRF00005
QRF00005_ABWL02000007.1	73	0.521	QRF00005
QRF00005_ACDJ01000003.1	73	0.521	QRF00005
QRF00005_ADTV01000009.1	73	0.548	QRF00005
QRF00005_AEGR01000006.1	73	0.562	QRF00005
QRF00005_AEQT01000005.1	73	0.521	QRF00005
QRF00005_AFCH01000046.1	73	0.548	QRF00005
QRF00005_AFSR01002788.1	74	0.568	QRF00005
QRF00005_AGFR01000003.1	73	0.534	QRF00005
QRF00005_AM711867.1	74	0.486	QRF00005
QRF00005_AM849034.1	74	0.486	QRF00005
QRF00005_AM889285.1	73	0.548	QRF00005
QRF00005_AP012159.1	73	0.548	QRF00005
QRF00005_AY741371.1	72	0.597	QRF00005
QRF00005_CABR01000029.1	73	0.616	QRF00005
QRF00005_CACD01000012.1	73	0.521	QRF00005
QRF00005_CAFG01000441.1	73	0.562	QRF00005
QRF00005_CP000493.1	72	0.722	QRF00005
QRF00005_CP000880.1	73	0.521	QRF00005
QRF00005_CP000927.1	72	0.569	QRF00005
QRF00005_CP001189.1	73	0.548	QRF00005
QRF00005_CP001744.1	73	0.562	QRF00005
QRF00005_CP003022.1	73	0.534	QRF00005
QRF00005_EF196803.1	73	0.534	QRF00005
QRF00005_FQ312002.1	73	0.534	QRF00005
QRF00005_FQ312006.1	73	0.534	QRF00005
QRF00005_FQ670178.1	73	0.534	QRF00005
QRF00005_FQ670204.1	73	0.534	QRF00005
QRF00005_HM565909.1	72	0.556	QRF00005
QRF00005_L42023.1	73	0.534	QRF00005
QRF00005_M15314.1	73	0.534	QRF00005
QRF00005_M19391.1	73	0.534	QRF00005
QRF00005_X53782.1	73	0.534	QRF00005
QRF00005_Z71579.1	73	0.534	QRF00005
QRF00010_AACY020062040.1	355	0.594	QRF00010
QRF00010_AACY020185705.1	350	0.597	QRF00010
QRF00010_AACY023745699.1	347	0.631	QRF00010
QRF00010_AAQW01000001.1	350	0.597	QRF00010
QRF00010_AATN01000057.1	365	0.523	QRF00010
QRF00010_ABKZ01000485.1	350	0.594	QRF00010
QRF00010_ABSG01000028.1	354	0.579	QRF00010
QRF00010_ABSP01001676.1	350	0.566	QRF00010
QRF00010_ABSP01006958.1	367	0.550	QRF00010
QRF00010_ABYY01000008.1	344	0.439	QRF00010
QRF00010_ACJN02000001.1	533	0.568	QRF00010
QRF00010_ACKY01000130.1	336	0.583	QRF00010
QRF00010_ACWU01000204.1	350	0.594	QRF00010
QRF00010_AE004091.2	350	0.594	QRF00010
QRF00010_AEEX01000069.1	350	0.594	QRF00010
QRF00010_AEGW02000003.1	350	0.560	QRF00010
QRF00010_AEVV01000076.1	350	0.594	QRF00010
QRF00010_AEVW01000050.1	350	0.594	QRF00010
QRF00010_AFFX01000011.1	358	0.584	QRF00010
QRF00010_AFJF01000001.1	394	0.538	QRF00010
QRF00010_AFNF01000315.1	350	0.594	QRF00010
QRF00010_AFOC01000030.1	349	0.630	QRF00010
QRF00010_AFOH01000117.1	345	0.600	QRF00010
QRF00010_AFWT01000009.1	368	0.641	QRF00010
QRF00010_AFXI01000001.1	350	0.594	QRF00010
QRF00010_AFXJ01000001.1	350	0.594	QRF00010
QRF00010_AFXK01000001.1	350	0.594	QRF00010
QRF00010_AFZB01000010.1	349	0.630	QRF00010
QRF00010_AGBG01000003.1	351	0.655	QRF00010
QRF00010_AGSX01000193.1	359	0.574	QRF00010
QRF00010_AGTR01000084.1	350	0.620	QRF00010
QRF00010_AP011529.1	404	0.525	QRF00010
QRF00010_AP012280.1	350	0.594	QRF00010
QRF00010_BADP01000198.1	350	0.594	QRF00010
QRF00010_CP000438.1	350	0.594	QRF00010
QRF00010_CP000744.1	350	0.600	QRF00010
QRF00010_CP000937.1	344	0.442	QRF00010
QRF00010_CP001649.1	366	0.574	QRF00010
QRF00010_CP001798.1	351	0.604	QRF00010
QRF00010_CP001978.1	350	0.620	QRF00010
QRF00010_CP002086.1	354	0.559	QRF00010
QRF00010_CP002496.1	350	0.594	QRF00010
QRF00010_CP002622.1	360	0.581	QRF00010
QRF00010_CP002727.1	350	0.594	QRF00010
QRF00010_CP002738.1	351	0.587	QRF00010
QRF00010_CP002870.1	360	0.592	QRF00010
QRF00010_CP002881.1	360	0.583	QRF00010
QRF00010_CR628336.1	373	0.544	QRF00010
QRF00010_FM209186.1	350	0.594	QRF00010
QRF00010_FO082060.1	365	0.575	QRF00010
QRF00013_ACYU01000068.1	184	0.516	QRF00013
QRF00013_ACYV01000017.1	184	0.516	QRF00013
QRF00013_ACZJ01000009.1	184	0.467	QRF00013
QRF00013_ACZR01000001.1	183	0.421	QRF00013
QRF00013_ACZT01000022.1	184	0.533	QRF00013
QRF00013_ADAF01000001.1	184	0.516	QRF00013
QRF00013_ADAJ01000008.1	184	0.516	QRF00013
QRF00013_ADAY01000123.1	184	0.549	QRF00013
QRF00013_ADBD01000013.1	184	0.533	QRF00013
QRF00013_ADCF01000001.1	184	0.484	QRF00013
QRF00013_ADOA01000088.1	184	0.484	QRF00013
QRF00013_ADOB01000004.1	184	0.484	QRF00013
QRF00013_ADOC01000018.1	184	0.489	QRF00013
QRF00013_ADOO01000002.1	184	0.516	QRF00013
QRF00013_ADUV01000052.1	184	0.549	QRF00013
QRF00013_AE005674.2	184	0.549	QRF00013
QRF00013_AE014073.1	184	0.549	QRF00013
QRF00013_AEJK01000013.1	184	0.484	QRF00013
QRF00013_AEJL01000044.1	184	0.484	QRF00013
QRF00013_AEJM01000006.1	184	0.489	QRF00013
QRF00013_AEJN01000036.1	184	0.484	QRF00013
QRF00013_AEJO01000018.1	184	0.484	QRF00013
QRF00013_AEJP01000024.1	184	0.489	QRF00013
QRF00013_AEJQ01000084.1	184	0.489	QRF00013
QRF00013_AEJR01000080.1	184	0.489	QRF00013
QRF00013_AEWB01000039.1	184	0.473	QRF00013
QRF00013_AEWW01015917.1	184	0.538	QRF00013
QRF00013_AFFP01000027.1	184	0.446	QRF00013
QRF00013_AFFZ01000083.1	184	0.549	QRF00013
QRF00013_AFGV01000063.1	184	0.549	QRF00013
QRF00013_AFGW01000055.1	184	0.549	QRF00013
QRF00013_AFGX01000050.1	184	0.549	QRF00013
QRF00013_AFGY01000047.1	184	0.549	QRF00013
QRF00013_AFGZ01000058.1	184	0.549	QRF00013
QRF00013_AFHA01000069.1	184	0.549	QRF00013
QRF00013_AFHB01000029.1	184	0.549	QRF00013
QRF00013_AFHC01000050.1	184	0.549	QRF00013
QRF00013_AFHD01000036.1	184	0.549	QRF00013
QRF00013_AFMO01000071.1	184	0.549	QRF00013
QRF00013_AFOP01000182.1	184	0.527	QRF00013
QRF00013_AFOW01000039.1	184	0.549	QRF00013
QRF00013_AFRR01000222.1	182	0.434	QRF00013
QRF00013_AFRS01000122.1	182	0.434	QRF00013
QRF00013_CP000266.1	184	0.549	QRF00013
QRF00013_CP000783.1	184	0.549	QRF00013
QRF00013_CP001383.1	184	0.549	QRF00013
QRF00013_CP001607.1	184	0.467	QRF00013
QRF00013_CP001733.1	184	0.489	QRF00013
QRF00013_CP003022.1	182	0.434	QRF00013
QRF00013_FN543093.2	184	0.543	QRF00013
QRF00015_AABR05127982.1	141	0.447	QRF00015
QRF00015_AAHX01039080.1	141	0.447	QRF00015
QRF00015_AANN01379251.1	141	0.454	QRF00015
QRF00015_AAPN01043182.1	141	0.454	QRF00015
QRF00015_AAQR03070351.1	141	0.454	QRF00015
QRF00015_ABBA01020106.1	141	0.454	QRF00015
QRF00015_ABDC01087654.1	141	0.454	QRF00015
QRF00015_ABDC01119012.1	141	0.454	QRF00015
QRF00015_ABDC01175280.1	141	0.454	QRF00015
QRF00015_ABDC01245411.1	141	0.454	QRF00015
QRF00015_ABDC01364039.1	141	0.447	QRF00015
QRF00015_ABDC01405565.1	141	0.454	QRF00015
QRF00015_ABDC01574429.1	141	0.454	QRF00015
QRF00015_ABGA01064518.1	141	0.454	QRF00015
QRF00015_ABQF01029509.1	141	0.461	QRF00015
QRF00015_ABRN01037767.1	141	0.454	QRF00015
QRF00015_ABRN01244678.1	141	0.454	QRF00015
QRF00015_ABRP01010211.1	141	0.454	QRF00015
QRF00015_ABRR01354224.1	141	0.454	QRF00015
QRF00015_ABSL01046560.1	141	0.454	QRF00015
QRF00015_AC004263.1	141	0.454	QRF00015
QRF00015_AC159539.6	141	0.454	QRF00015
QRF00015_ACBE01380376.1	141	0.454	QRF00015
QRF00015_ACFV01073039.1	141	0.454	QRF00015
QRF00015_ACTA01171326.1	141	0.454	QRF00015
QRF00015_AEKP01164018.1	141	0.454	QRF00015
QRF00015_AEKQ01052860.1	141	0.454	QRF00015
QRF00015_AEKR01203680.1	141	0.454	QRF00015
QRF00015_AEYP01033909.1	141	0.454	QRF00015
QRF00015_AFEY01421837.1	141	0.454	QRF00015
QRF00015_AFSB01088978.1	141	0.461	QRF00015
QRF00015_AGCE01075633.1	141	0.454	QRF00015
QRF00015_AGCE01126540.1	141	0.461	QRF00015
QRF00015_AGTP01090484.1	141	0.454	QRF00015
QRF00015_AK024809.1	141	0.454	QRF00015
QRF00015_CAAA01049814.1	141	0.454	QRF00015
QRF00015_CABD02090781.1	141	0.454	QRF00015
QRF00015_CAEC01058434.1	141	0.454	QRF00015
QRF00015_FJ916039.1	141	0.454	QRF00015
QRF00015_FQ226486.1	141	0.454	QRF00015
QRF00015_FQ226872.1	141	0.454	QRF00015
QRF00015_FQ231014.1	141	0.454	QRF00015
QRF00015_FQ231206.1	141	0.454	QRF00015
QRF00015_FQ231306.1	141	0.454	QRF00015
QRF00015_FQ232298.1	141	0.454	QRF00015
QRF00015_FQ235003.1	141	0.454	QRF00015
QRF00015_K00473.1	141	0.454	QRF00015
QRF00015_K00479.1	141	0.454	QRF00015
QRF00015_M10328.1	141	0.454	QRF00015
QRF00020_AABR05039839.1	116	0.362	QRF00020
QRF00020_AABR05128471.1	116	0.371	QRF00020
QRF00020_AABR05154359.1	116	0.388	QRF00020
QRF00020_AAFR03051183.1	116	0.388	QRF00020
QRF00020_AAGU03071756.1	116	0.397	QRF00020
QRF00020_AAGW02025131.1	116	0.371	QRF00020
QRF00020_AAHX01039355.1	116	0.371	QRF00020
QRF00020_AAHX01055218.1	116	0.388	QRF00020
QRF00020_AAHX01076678.1	116	0.362	QRF00020
QRF00020_AAHY01001514.1	116	0.379	QRF00020
QRF00020_AAHY01078901.1	116	0.397	QRF00020
QRF00020_AAHY01372253.1	116	0.379	QRF00020
QRF00020_AAHY01471791.1	116	0.397	QRF00020
QRF00020_AANU01042489.1	116	0.397	QRF00020
QRF00020_AAQR03170578.1	116	0.345	QRF00020
QRF00020_ABGA01305893.1	116	0.388	QRF00020
