ID	Len	GC	Group
bg1	287	0.481	bg1
bg10	101	0.475	bg10
bg100	287	0.498	bg100
bg1000	180	0.494	bg1000
bg1001	255	0.522	bg1001
bg1002	37	0.378	bg1002
bg1003	71	0.620	bg1003
bg1004	70	0.486	bg1004
bg1005	70	0.471	bg1005
bg1006	146	0.493	bg1006
bg1007	187	0.433	bg1007
bg1008	37	0.514	bg1008
bg1009	212	0.500	bg1009
bg101	82	0.476	bg101
bg1010	89	0.494	bg1010
bg1011	295	0.502	bg1011
bg1012	306	0.454	bg1012
bg1013	291	0.533	bg1013
bg1014	96	0.510	bg1014
bg1015	76	0.474	bg1015
bg1016	137	0.482	bg1016
bg1017	57	0.474	bg1017
bg1018	72	0.472	bg1018
bg1019	102	0.480	bg1019
bg102	77	0.545	bg102
bg1020	37	0.514	bg1020
bg1021	86	0.593	bg1021
bg1022	48	0.583	bg1022
bg1023	46	0.543	bg1023
bg1024	88	0.500	bg1024
bg1025	91	0.396	bg1025
bg1026	37	0.514	bg1026
bg1027	76	0.553	bg1027
bg1028	84	0.548	bg1028
bg1029	83	0.542	bg1029
bg103	77	0.506	bg103
bg1030	286	0.402	bg1030
bg1031	127	0.575	bg1031
bg1032	289	0.519	bg1032
bg1033	75	0.560	bg1033
bg1034	54	0.463	bg1034
bg1035	207	0.444	bg1035
bg1036	286	0.469	bg1036
bg1037	129	0.535	bg1037
bg1038	87	0.483	bg1038
bg1039	69	0.507	bg1039
bg104	56	0.589	bg104
bg1040	287	0.463	bg1040
bg1041	103	0.515	bg1041
bg1042	87	0.529	bg1042
bg1043	286	0.493	bg1043
bg1044	127	0.488	bg1044
bg1045	89	0.461	bg1045
bg1046	37	0.622	bg1046
bg1047	71	0.634	bg1047
bg1048	286	0.521	bg1048
bg1049	290	0.517	bg1049
bg105	74	0.514	bg105
bg1050	127	0.543	bg1050
bg1051	78	0.436	bg1051
bg1052	301	0.482	bg1052
bg1053	86	0.488	bg1053
bg1054	303	0.432	bg1054
bg1055	146	0.507	bg1055
bg1056	76	0.539	bg1056
bg1057	285	0.519	bg1057
bg1058	198	0.520	bg1058
bg1059	294	0.531	bg1059
bg106	46	0.652	bg106
bg1060	75	0.453	bg1060
bg1061	76	0.408	bg1061
bg1062	90	0.378	bg1062
bg1063	290	0.466	bg1063
bg1064	82	0.598	bg1064
bg1065	90	0.378	bg1065
bg1066	82	0.561	bg1066
bg1067	79	0.456	bg1067
bg1068	93	0.484	bg1068
bg1069	80	0.300	bg1069
bg107	59	0.441	bg107
bg1070	108	0.463	bg1070
bg1071	37	0.541	bg1071
bg1072	72	0.611	bg1072
bg1073	204	0.520	bg1073
bg1074	287	0.512	bg1074
bg1075	295	0.536	bg1075
bg1076	284	0.514	bg1076
bg1077	279	0.498	bg1077
bg1078	56	0.446	bg1078
bg1079	300	0.503	bg1079
bg108	75	0.560	bg108
bg1080	139	0.496	bg1080
bg1081	95	0.463	bg1081
bg1082	37	0.486	bg1082
bg1083	82	0.512	bg1083
bg1084	119	0.521	bg1084
bg1085	46	0.457	bg1085
bg1086	140	0.457	bg1086
bg1087	81	0.457	bg1087
bg1088	72	0.569	bg1088
bg1089	89	0.382	bg1089
bg109	87	0.598	bg109
bg1090	289	0.484	bg1090
bg1091	149	0.450	bg1091
bg1092	91	0.505	bg1092
bg1093	76	0.526	bg1093
bg1094	96	0.552	bg1094
bg1095	46	0.543	bg1095
bg1096	287	0.470	bg1096
bg1097	150	0.500	bg1097
bg1098	88	0.386	bg1098
bg1099	71	0.521	bg1099
bg11	70	0.557	bg11
bg110	287	0.540	bg110
bg1100	64	0.531	bg1100
bg1101	274	0.533	bg1101
bg1102	101	0.505	bg1102
bg1103	45	0.578	bg1103
bg1104	56	0.482	bg1104
bg1105	77	0.494	bg1105
bg1106	271	0.461	bg1106
bg1107	269	0.409	bg1107
bg1108	293	0.570	bg1108
bg1109	72	0.500	bg1109
bg111	286	0.507	bg111
bg1110	127	0.488	bg1110
bg1111	46	0.413	bg1111
bg1112	77	0.545	bg1112
bg1113	37	0.514	bg1113
bg1114	37	0.405	bg1114
bg1115	102	0.480	bg1115
bg1116	127	0.425	bg1116
bg1117	74	0.581	bg1117
bg1118	129	0.442	bg1118
bg1119	127	0.528	bg1119
bg112	130	0.515	bg112
bg1120	70	0.471	bg1120
bg1121	298	0.507	bg1121
bg1122	303	0.525	bg1122
bg1123	291	0.567	bg1123
bg1124	332	0.536	bg1124
bg1125	77	0.481	bg1125
bg1126	74	0.378	bg1126
bg1127	287	0.470	bg1127
bg1128	74	0.527	bg1128
bg1129	158	0.411	bg1129
bg113	75	0.480	bg113
bg1130	73	0.493	bg1130
bg1131	292	0.562	bg1131
bg1132	87	0.356	bg1132
bg1133	81	0.395	bg1133
bg1134	301	0.512	bg1134
bg1135	73	0.452	bg1135
bg1136	77	0.519	bg1136
bg1137	78	0.410	bg1137
bg1138	76	0.618	bg1138
bg1139	285	0.537	bg1139
bg114	140	0.443	bg114
bg1140	59	0.508	bg1140
bg1141	294	0.469	bg1141
bg1142	137	0.431	bg1142
bg1143	141	0.624	bg1143
bg1144	281	0.498	bg1144
bg1145	320	0.459	bg1145
bg1146	86	0.465	bg1146
bg1147	46	0.543	bg1147
bg1148	188	0.431	bg1148
bg1149	127	0.488	bg1149
bg115	46	0.543	bg115
bg1150	59	0.559	bg1150
bg1151	292	0.538	bg1151
bg1152	77	0.481	bg1152
bg1153	76	0.566	bg1153
bg1154	76	0.461	bg1154
bg1155	37	0.568	bg1155
bg1156	283	0.452	bg1156
bg1157	71	0.437	bg1157
bg1158	290	0.490	bg1158
bg1159	296	0.476	bg1159
bg116	294	0.531	bg116
bg1160	104	0.423	bg1160
bg1161	89	0.494	bg1161
bg1162	290	0.497	bg1162
bg1163	81	0.432	bg1163
bg1164	288	0.507	bg1164
bg1165	56	0.429	bg1165
bg1166	75	0.587	bg1166
bg1167	290	0.503	bg1167
bg1168	37	0.541	bg1168
bg1169	37	0.378	bg1169
bg117	146	0.507	bg117
bg1170	45	0.422	bg1170
bg1171	294	0.476	bg1171
bg1172	125	0.448	bg1172
bg1173	96	0.531	bg1173
bg1174	91	0.495	bg1174
