ClustID	MergedIDs	Count	AvgDissim	Members
M11	1150,1551,1019,588,224,1696	50	0.74	RF00006_48,RF00006_52,RF00006_11,RF00006_14,RF00006_15,RF00006_16,RF00006_17,RF00006_34,RF00006_33,RF00006_30,RF00006_31,RF00006_50,RF00006_51,RF00006_38,RF00006_39,RF00006_8,RF00006_6,RF00006_7,RF00006_4,RF00006_5,RF00006_2,RF00006_3,RF00006_1,RF00006_43,RF00006_45,RF00006_46,RF00006_25,RF00006_42,RF00006_41,RF00006_26,RF00006_21,RF00006_20,RF00006_23,RF00006_22,RF00006_49,RF00006_44,RF00006_28,RF00006_47,RF00006_27,RF00006_18,RF00006_19,RF00006_10,RF00006_35,RF00006_32,RF00006_9,RF00006_40,RF00006_24,RF00006_36,RF00006_37,RF00006_29
M17	1423,232	15	0.72	RF00013_4,RF00013_53,RF00013_50,RF00013_42,RF00013_78,RF00013_9,RF00013_62,RF00013_31,RF00013_77,RF00013_18,RF00013_19,RF00013_63,RF00013_17,RF00013_10,RF00013_28
M10	1469,427,1382,193,192,277,848,1533,341,1456,610	82	0.77	RF00020_62,RF00020_76,RF00020_64,RF00020_18,RF00020_53,RF00020_52,RF00020_10,RF00020_11,RF00020_12,RF00020_13,RF00020_37,RF00020_34,RF00020_79,RF00020_32,RF00020_33,RF00020_30,RF00020_31,RF00020_54,RF00020_55,RF00020_56,RF00020_57,RF00020_50,RF00020_51,RF00020_38,RF00020_39,RF00020_77,RF00020_8,RF00020_9,RF00020_6,RF00020_7,RF00020_3,RF00020_82,RF00020_42,RF00020_80,RF00020_68,RF00020_43,RF00020_24,RF00020_27,RF00020_21,RF00020_23,RF00020_22,RF00020_61,RF00020_60,RF00020_49,RF00020_48,RF00020_28,RF00020_75,RF00020_73,RF00020_63,RF00020_81,RF00020_65,RF00020_78,RF00020_19,RF00020_59,RF00020_14,RF00020_16,RF00020_35,RF00020_5,RF00020_2,RF00020_1,RF00020_41,RF00020_69,RF00020_40,RF00020_70,RF00020_58,RF00020_46,RF00020_25,RF00020_26,RF00020_45,RF00020_44,RF00020_29,RF00020_67,RF00020_66,RF00020_72,RF00020_71,RF00020_17,RF00020_74,RF00020_47,RF00020_15,RF00020_36,RF00020_4,RF00020_20
M16	834,362,1649,1030	35	0.79	RF00012_38,RF00012_37,RF00012_36,RF00012_35,RF00012_34,RF00012_33,RF00012_32,RF00012_31,RF00012_30,RF00012_15,RF00012_17,RF00012_11,RF00012_13,RF00012_12,RF00012_18,RF00012_9,RF00012_8,RF00012_5,RF00012_4,RF00012_7,RF00012_6,RF00012_1,RF00012_3,RF00012_2,RF00012_28,RF00012_29,RF00012_20,RF00012_21,RF00012_22,RF00012_23,RF00012_24,RF00012_25,RF00012_26,RF00012_27,RF00012_19
M20	1883	5	0.43	RF00032_30,RF00032_1,RF00032_8,RF00032_33,RF00032_34
M13	1664,891,1877,730,1760,1358	32	0.65	RF00032_42,RF00032_19,RF00032_28,RF00032_4,RF00032_3,RF00032_31,RF00032_32,RF00032_37,RF00032_24,RF00032_38,RF00032_9,RF00032_36,RF00032_43,RF00032_11,RF00032_10,RF00032_17,RF00032_15,RF00032_22,RF00032_23,RF00032_20,RF00032_25,RF00032_29,RF00032_13,RF00032_16,RF00032_14,RF00032_39,RF00032_2,RF00032_6,RF00032_5,RF00032_40,RF00032_41,RF00032_27
M18	334,856,1451	16	0.73	RF00017_12,RF00017_1,RF00017_2,RF00017_3,RF00017_4,RF00017_5,RF00017_6,RF00017_7,RF00017_8,RF00017_9,RF00017_15,RF00017_13,RF00017_10,RF00017_11,RF00017_16,RF00017_17
M5	1785,1265,1693,1669,924,925,300,256,754,759,163,1455	100	0.80	RF00001_76,RF00001_9,RF00001_8,RF00001_100,RF00001_5,RF00001_4,RF00001_7,RF00001_72,RF00001_1,RF00001_3,RF00001_88,RF00001_89,RF00001_84,RF00001_85,RF00001_82,RF00001_63,RF00001_80,RF00001_81,RF00001_28,RF00001_73,RF00001_58,RF00001_20,RF00001_21,RF00001_22,RF00001_23,RF00001_24,RF00001_25,RF00001_26,RF00001_27,RF00001_55,RF00001_48,RF00001_70,RF00001_68,RF00001_69,RF00001_78,RF00001_42,RF00001_43,RF00001_40,RF00001_41,RF00001_46,RF00001_47,RF00001_44,RF00001_45,RF00001_60,RF00001_75,RF00001_90,RF00001_62,RF00001_83,RF00001_98,RF00001_95,RF00001_94,RF00001_97,RF00001_96,RF00001_91,RF00001_66,RF00001_93,RF00001_92,RF00001_61,RF00001_67,RF00001_77,RF00001_39,RF00001_38,RF00001_37,RF00001_36,RF00001_35,RF00001_33,RF00001_32,RF00001_30,RF00001_71,RF00001_14,RF00001_17,RF00001_16,RF00001_11,RF00001_10,RF00001_13,RF00001_12,RF00001_50,RF00001_53,RF00001_52,RF00001_19,RF00001_18,RF00001_57,RF00001_56,RF00001_2,RF00001_87,RF00001_29,RF00001_64,RF00001_65,RF00001_99,RF00001_79,RF00001_31,RF00001_15,RF00001_74,RF00001_54,RF00001_6,RF00001_49,RF00001_59,RF00001_51,RF00001_34,RF00001_86
M4	1783,1903,1114,219,713,533,1229,1391	70	0.86	RF00013_5,RF00013_80,RF00013_56,RF00013_57,RF00013_2,RF00013_3,RF00013_55,RF00013_8,RF00013_79,RF00013_27,RF00013_86,RF00013_33,RF00013_24,RF00013_35,RF00013_36,RF00013_30,RF00013_61,RF00013_40,RF00013_71,RF00013_76,RF00013_72,RF00013_60,RF00013_67,RF00013_45,RF00013_48,RF00013_6,RF00013_15,RF00013_74,RF00013_75,RF00013_68,RF00013_69,RF00013_23,RF00013_22,RF00013_21,RF00013_66,RF00013_29,RF00013_64,RF00013_41,RF00013_43,RF00013_44,RF00013_46,RF00013_49,RF00013_84,RF00013_81,RF00013_82,RF00013_1,RF00013_32,RF00013_16,RF00013_39,RF00013_12,RF00013_13,RF00013_52,RF00013_51,RF00013_54,RF00013_58,RF00013_26,RF00013_47,RF00013_85,RF00013_83,RF00013_7,RF00013_34,RF00013_37,RF00013_11,RF00013_73,RF00013_59,RF00013_25,RF00013_65,RF00013_42,RF00013_14,RF00013_70
M7	131,364,1405,1500	27	0.74	RF00007_17,RF00007_16,RF00007_15,RF00007_14,RF00007_13,RF00007_12,RF00007_11,RF00007_10,RF00007_19,RF00007_18,RF00007_7,RF00007_6,RF00007_5,RF00007_3,RF00007_2,RF00007_1,RF00007_9,RF00007_8,RF00007_26,RF00007_27,RF00007_24,RF00007_25,RF00007_22,RF00007_23,RF00007_20,RF00007_21,RF00007_4
M6	765,1074,939,402,828,1843,1535,572,255,1373,1508,13	94	0.80	RF00005_82,RF00005_93,RF00005_79,RF00005_90,RF00005_76,RF00005_51,RF00005_52,RF00005_71,RF00005_70,RF00005_33,RF00005_31,RF00005_56,RF00005_37,RF00005_36,RF00005_53,RF00005_34,RF00005_11,RF00005_10,RF00005_39,RF00005_12,RF00005_15,RF00005_14,RF00005_16,RF00005_9,RF00005_8,RF00005_38,RF00005_97,RF00005_3,RF00005_2,RF00005_5,RF00005_4,RF00005_6,RF00005_89,RF00005_98,RF00005_68,RF00005_69,RF00005_81,RF00005_86,RF00005_85,RF00005_60,RF00005_61,RF00005_62,RF00005_63,RF00005_96,RF00005_65,RF00005_66,RF00005_67,RF00005_46,RF00005_44,RF00005_28,RF00005_41,RF00005_24,RF00005_25,RF00005_26,RF00005_27,RF00005_21,RF00005_22,RF00005_23,RF00005_57,RF00005_42,RF00005_58,RF00005_50,RF00005_95,RF00005_78,RF00005_77,RF00005_73,RF00005_32,RF00005_35,RF00005_13,RF00005_17,RF00005_1,RF00005_74,RF00005_87,RF00005_29,RF00005_40,RF00005_30,RF00005_99,RF00005_83,RF00005_100,RF00005_47,RF00005_43,RF00005_48,RF00006_13,RF00005_49,RF00005_80,RF00005_55,RF00005_91,RF00005_84,RF00010_21,RF00005_75,RF00005_88,RF00005_20,RF00005_19,RF00005_18
M1	217	17	0.81	RF00009_36,RF00009_66,RF00009_33,RF00009_25,RF00009_14,RF00009_17,RF00009_16,RF00009_53,RF00009_42,RF00009_65,RF00009_40,RF00009_46,RF00009_54,RF00009_62,RF00017_9,RF00009_48,RF00009_32
M14	1129	34	0.84	RF00009_39,RF00009_20,RF00009_23,RF00009_24,RF00009_27,RF00009_28,RF00009_43,RF00009_41,RF00009_60,RF00009_47,RF00009_44,RF00009_45,RF00009_49,RF00009_68,RF00009_7,RF00009_6,RF00009_3,RF00009_2,RF00009_9,RF00009_8,RF00009_37,RF00009_67,RF00009_34,RF00009_19,RF00009_18,RF00009_30,RF00009_15,RF00009_10,RF00009_13,RF00009_12,RF00009_51,RF00009_55,RF00009_56,RF00009_58
M3	213,27,344,1824,182,507,463,1592,1458,1686	70	0.78	RF00004_34,RF00004_57,RF00004_35,RF00004_63,RF00004_36,RF00004_37,RF00004_30,RF00004_1,RF00004_2,RF00004_3,RF00004_4,RF00004_5,RF00004_6,RF00004_7,RF00004_9,RF00004_33,RF00004_65,RF00004_70,RF00004_64,RF00004_58,RF00004_59,RF00004_56,RF00004_51,RF00004_55,RF00004_52,RF00004_53,RF00004_50,RF00004_48,RF00004_12,RF00004_13,RF00004_10,RF00004_11,RF00004_16,RF00004_31,RF00004_14,RF00004_15,RF00004_18,RF00004_19,RF00004_38,RF00004_39,RF00004_45,RF00004_44,RF00004_47,RF00004_62,RF00004_68,RF00004_46,RF00004_32,RF00004_69,RF00004_42,RF00004_41,RF00004_40,RF00004_67,RF00004_66,RF00004_29,RF00004_28,RF00004_49,RF00004_43,RF00004_61,RF00004_60,RF00004_23,RF00004_22,RF00004_21,RF00004_20,RF00004_27,RF00004_26,RF00004_25,RF00004_24,RF00004_17,RF00004_8,RF00004_54
