query,cripple,nn_seed,length_norm,alg,kernel,gamma,alpha,c,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.0,0.94,0.958492588742,0.684
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.1000000000000001,0.816,0.931195136161,0.729
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.2,0.651,0.825788593557,0.766
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.3,0.592,0.793052839398,0.758
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.3999999999999999,0.585,0.785357657426,0.762
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.40000000000000002,1.5,0.598,0.781499835936,0.768
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.0,0.933,0.961851659639,0.684
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.1000000000000001,0.782,0.942455741288,0.751
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.2,0.622,0.773497856707,0.764
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.3,0.577,0.745989376108,0.771
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.3999999999999999,0.572,0.745937159009,0.775
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.5,1.5,0.585,0.741252845921,0.781
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.0,0.948,0.971055711173,0.69
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.1000000000000001,0.775,0.944860845676,0.755
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.2,0.612,0.77549441997,0.768
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.3,0.562,0.743807651212,0.765
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.3999999999999999,0.557,0.752121222939,0.768
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.59999999999999998,1.5,0.57,0.74742662825,0.774
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.0,0.936,0.957724595855,0.687
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.1000000000000001,0.778,0.942141618204,0.745
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.2,0.612,0.774927789253,0.768
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.3,0.554,0.743709866905,0.763
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.3999999999999999,0.549,0.752501432066,0.773
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.69999999999999996,1.5,0.562,0.748598469809,0.779
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.0,0.925,0.959624200264,0.709
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.1000000000000001,0.751,0.926160964357,0.743
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.2,0.623,0.762635248822,0.771
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.3,0.56,0.750179492225,0.766
fam40_typedistributed_embed+bg_weak,6,7,false,labelSpreading,rbf,0.5,0.80000000000000004,1.3999999999999999,0.555,0.761073726251,0.777
