query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.2,True,1.0,1.0,0.9795501022494888
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.1,True,0.33333333333333331,0.11111111111111109,1.0
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.2,True,0.33333333333333331,0.11111111111111109,1.0
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.1,True,0.86400817995910018,0.91716009111375985,0.84560327198364005
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.6,True,1.1,True,1.0,1.0,0.93660531697341509
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.2,True,0.99488752556237214,0.99604945157092395,0.97750511247443761
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.1,True,0.33333333333333331,0.11111111111111109,1.0
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.1,True,0.8721881390593047,0.89779709456652212,0.83333333333333337
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.2,True,0.99591002044989774,0.99668906417372682,0.98466257668711654
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.3,0.6,True,1.1,True,0.35999999999999999,0.44748858447488582,0.97333333333333338
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.1,True,0.87832310838445804,0.90825488719110581,0.84662576687116564
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.1,True,1.0,1.0,0.94376278118609402
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.2,True,1.0,1.0,0.96319018404907975
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.2,True,0.87014314928425363,0.89743037296718287,0.86605316973415136
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.35999999999999999,0.44748858447488582,0.97333333333333338
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.1,True,0.34000000000000002,0.44519015659955263,0.99333333333333329
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.98773006134969321,0.99154365103292474,0.89672801635991817
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.2,True,0.9887525562372188,0.9931711948583114,0.97750511247443761
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,0.8936605316973415,0.93575258869737399,0.86094069529652351
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.1,True,0.98670756646216773,0.99118463336254747,0.85991820040899791
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.1,True,0.87730061349693256,0.9103873044738654,0.86094069529652351
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.2,True,0.33333333333333331,0.11111111111111109,1.0
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.2,True,0.33333333333333331,0.11111111111111109,1.0
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.2,True,0.33333333333333331,0.11111111111111109,1.0
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.1,True,0.87832310838445804,0.91029940811691401,0.83946830265848671
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.2,True,1.0,1.0,0.98670756646216773
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.1,True,0.98568507157464214,0.99145994487418865,0.89161554192229042
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.1,True,1.0,1.0,0.82413087934560325
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.2,True,0.34666666666666668,0.44594594594594594,0.98666666666666669
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.1,True,0.34000000000000002,0.44519015659955263,0.99333333333333329
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.1,True,0.34000000000000002,0.44519015659955263,0.99333333333333329
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.2,True,0.87014314928425363,0.89475608957578689,0.8721881390593047
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.1,True,0.34000000000000002,0.44519015659955263,0.99333333333333329
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.2,True,0.86912065439672803,0.89258174795633916,0.87627811860940696
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.2,True,0.89161554192229042,0.93621473662818022,0.89059304703476483
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.2,True,0.33333333333333331,0.11111111111111109,1.0
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.2,True,0.98568507157464214,0.98870276518182632,0.9683026584867076
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.2,True,0.87116564417177911,0.90020428640364492,0.87014314928425363
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.1,True,0.9887525562372188,0.9931711948583114,0.91002044989775055
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.1,True,0.87832310838445804,0.93018310084770106,0.87014314928425363
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.2,True,1.0,1.0,0.96319018404907975
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.1,True,0.99591002044989774,0.99668906417372682,0.91308793456032722
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.2,True,0.8619631901840491,0.91295850111449361,0.87423312883435578
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.6,True,1.2,True,0.99693251533742333,0.99739263803680989,0.98057259713701428
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.2,True,0.99386503067484666,0.99546545745532145,0.97648261758691202
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.1,True,0.99591002044989774,0.99668906417372682,0.91717791411042948
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,0.6,True,1.2,True,0.9887525562372188,0.99031458894088931,0.97239263803680986
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.1,True,1.0,1.0,0.93865030674846628
rfam75id_dinuc3000-rename,False,0,19,True,100,True,labelSpreading,rbf,0.5,1.0,True,1.2,True,0.99591002044989774,0.99668906417372682,0.98364008179959095
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.1,True,1.0,1.0,0.93660531697341509
novel-1-2-3hp,True,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.1,True,0.33333333333333331,0.11111111111111109,1.0
rfam75id_embed-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.1,True,0.87525562372188137,0.90219208614036894,0.8404907975460123
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.1,True,1.0,1.0,0.94376278118609402
